"","county","cbsa","region","state","zip","year","Bedrooms","Rent"
"1","Benton County","28420","Kennewick-Pasco-Richland","WA",98930,2012,"Studio",500
"2","Benton County","28420","Kennewick-Pasco-Richland","WA",98930,2012,"One Bedroom",550
"3","Benton County","28420","Kennewick-Pasco-Richland","WA",98930,2012,"Two Bedrooms",690
"4","Benton County","28420","Kennewick-Pasco-Richland","WA",98930,2012,"Three Bedrooms",930
"5","Benton County","28420","Kennewick-Pasco-Richland","WA",98930,2012,"Four Bedrooms",1110
"6","Benton County","28420","Kennewick-Pasco-Richland","WA",98944,2012,"Studio",560
"7","Benton County","28420","Kennewick-Pasco-Richland","WA",98944,2012,"One Bedroom",610
"8","Benton County","28420","Kennewick-Pasco-Richland","WA",98944,2012,"Two Bedrooms",760
"9","Benton County","28420","Kennewick-Pasco-Richland","WA",98944,2012,"Three Bedrooms",1030
"10","Benton County","28420","Kennewick-Pasco-Richland","WA",98944,2012,"Four Bedrooms",1220
"11","Benton County","28420","Kennewick-Pasco-Richland","WA",99320,2012,"Studio",530
"12","Benton County","28420","Kennewick-Pasco-Richland","WA",99320,2012,"One Bedroom",570
"13","Benton County","28420","Kennewick-Pasco-Richland","WA",99320,2012,"Two Bedrooms",720
"14","Benton County","28420","Kennewick-Pasco-Richland","WA",99320,2012,"Three Bedrooms",970
"15","Benton County","28420","Kennewick-Pasco-Richland","WA",99320,2012,"Four Bedrooms",1150
"16","Benton County","28420","Kennewick-Pasco-Richland","WA",99336,2012,"Studio",530
"17","Benton County","28420","Kennewick-Pasco-Richland","WA",99336,2012,"One Bedroom",580
"18","Benton County","28420","Kennewick-Pasco-Richland","WA",99336,2012,"Two Bedrooms",730
"19","Benton County","28420","Kennewick-Pasco-Richland","WA",99336,2012,"Three Bedrooms",990
"20","Benton County","28420","Kennewick-Pasco-Richland","WA",99336,2012,"Four Bedrooms",1170
"21","Benton County","28420","Kennewick-Pasco-Richland","WA",99337,2012,"Studio",580
"22","Benton County","28420","Kennewick-Pasco-Richland","WA",99337,2012,"One Bedroom",640
"23","Benton County","28420","Kennewick-Pasco-Richland","WA",99337,2012,"Two Bedrooms",800
"24","Benton County","28420","Kennewick-Pasco-Richland","WA",99337,2012,"Three Bedrooms",1080
"25","Benton County","28420","Kennewick-Pasco-Richland","WA",99337,2012,"Four Bedrooms",1280
"26","Benton County","28420","Kennewick-Pasco-Richland","WA",99338,2012,"Studio",480
"27","Benton County","28420","Kennewick-Pasco-Richland","WA",99338,2012,"One Bedroom",520
"28","Benton County","28420","Kennewick-Pasco-Richland","WA",99338,2012,"Two Bedrooms",650
"29","Benton County","28420","Kennewick-Pasco-Richland","WA",99338,2012,"Three Bedrooms",880
"30","Benton County","28420","Kennewick-Pasco-Richland","WA",99338,2012,"Four Bedrooms",1040
"31","Benton County","28420","Kennewick-Pasco-Richland","WA",99345,2012,"Studio",420
"32","Benton County","28420","Kennewick-Pasco-Richland","WA",99345,2012,"One Bedroom",460
"33","Benton County","28420","Kennewick-Pasco-Richland","WA",99345,2012,"Two Bedrooms",580
"34","Benton County","28420","Kennewick-Pasco-Richland","WA",99345,2012,"Three Bedrooms",780
"35","Benton County","28420","Kennewick-Pasco-Richland","WA",99345,2012,"Four Bedrooms",930
"36","Benton County","28420","Kennewick-Pasco-Richland","WA",99346,2012,"Studio",560
"37","Benton County","28420","Kennewick-Pasco-Richland","WA",99346,2012,"One Bedroom",610
"38","Benton County","28420","Kennewick-Pasco-Richland","WA",99346,2012,"Two Bedrooms",760
"39","Benton County","28420","Kennewick-Pasco-Richland","WA",99346,2012,"Three Bedrooms",1030
"40","Benton County","28420","Kennewick-Pasco-Richland","WA",99346,2012,"Four Bedrooms",1220
"41","Benton County","28420","Kennewick-Pasco-Richland","WA",99350,2012,"Studio",470
"42","Benton County","28420","Kennewick-Pasco-Richland","WA",99350,2012,"One Bedroom",510
"43","Benton County","28420","Kennewick-Pasco-Richland","WA",99350,2012,"Two Bedrooms",640
"44","Benton County","28420","Kennewick-Pasco-Richland","WA",99350,2012,"Three Bedrooms",870
"45","Benton County","28420","Kennewick-Pasco-Richland","WA",99350,2012,"Four Bedrooms",1030
"46","Benton County","28420","Kennewick-Pasco-Richland","WA",99352,2012,"Studio",590
"47","Benton County","28420","Kennewick-Pasco-Richland","WA",99352,2012,"One Bedroom",650
"48","Benton County","28420","Kennewick-Pasco-Richland","WA",99352,2012,"Two Bedrooms",810
"49","Benton County","28420","Kennewick-Pasco-Richland","WA",99352,2012,"Three Bedrooms",1100
"50","Benton County","28420","Kennewick-Pasco-Richland","WA",99352,2012,"Four Bedrooms",1300
"51","Benton County","28420","Kennewick-Pasco-Richland","WA",99353,2012,"Studio",500
"52","Benton County","28420","Kennewick-Pasco-Richland","WA",99353,2012,"One Bedroom",550
"53","Benton County","28420","Kennewick-Pasco-Richland","WA",99353,2012,"Two Bedrooms",690
"54","Benton County","28420","Kennewick-Pasco-Richland","WA",99353,2012,"Three Bedrooms",930
"55","Benton County","28420","Kennewick-Pasco-Richland","WA",99353,2012,"Four Bedrooms",1110
"56","Benton County","28420","Kennewick-Pasco-Richland","WA",99354,2012,"Studio",560
"57","Benton County","28420","Kennewick-Pasco-Richland","WA",99354,2012,"One Bedroom",610
"58","Benton County","28420","Kennewick-Pasco-Richland","WA",99354,2012,"Two Bedrooms",770
"59","Benton County","28420","Kennewick-Pasco-Richland","WA",99354,2012,"Three Bedrooms",1040
"60","Benton County","28420","Kennewick-Pasco-Richland","WA",99354,2012,"Four Bedrooms",1230
"61","Chelan County","48300","Wenatchee-East Wenatchee","WA",98801,2012,"Studio",540
"62","Chelan County","48300","Wenatchee-East Wenatchee","WA",98801,2012,"One Bedroom",570
"63","Chelan County","48300","Wenatchee-East Wenatchee","WA",98801,2012,"Two Bedrooms",720
"64","Chelan County","48300","Wenatchee-East Wenatchee","WA",98801,2012,"Three Bedrooms",970
"65","Chelan County","48300","Wenatchee-East Wenatchee","WA",98801,2012,"Four Bedrooms",1120
"66","Chelan County","48300","Wenatchee-East Wenatchee","WA",98811,2012,"Studio",530
"67","Chelan County","48300","Wenatchee-East Wenatchee","WA",98811,2012,"One Bedroom",560
"68","Chelan County","48300","Wenatchee-East Wenatchee","WA",98811,2012,"Two Bedrooms",710
"69","Chelan County","48300","Wenatchee-East Wenatchee","WA",98811,2012,"Three Bedrooms",960
"70","Chelan County","48300","Wenatchee-East Wenatchee","WA",98811,2012,"Four Bedrooms",1100
"71","Chelan County","48300","Wenatchee-East Wenatchee","WA",98815,2012,"Studio",530
"72","Chelan County","48300","Wenatchee-East Wenatchee","WA",98815,2012,"One Bedroom",560
"73","Chelan County","48300","Wenatchee-East Wenatchee","WA",98815,2012,"Two Bedrooms",710
