"","County Name","CBSA","CBSA Name","ZIP","area_rent_br0","area_rent_br1","area_rent_br2","area_rent_br3","area_rent_br4","year"
"1","Cowlitz County","31020","Longview, WA MSA",98581,480,600,700,1020,1160,2011
"2","Cowlitz County","31020","Longview, WA MSA",98601,480,600,700,1020,1160,2011
"3","Cowlitz County","31020","Longview, WA MSA",98603,450,560,650,950,1080,2011
"4","Cowlitz County","31020","Longview, WA MSA",98609,480,600,700,1020,1160,2011
"5","Cowlitz County","31020","Longview, WA MSA",98611,480,600,700,1020,1160,2011
"6","Cowlitz County","31020","Longview, WA MSA",98616,480,600,700,1020,1160,2011
"7","Cowlitz County","31020","Longview, WA MSA",98625,480,600,700,1020,1160,2011
"8","Cowlitz County","31020","Longview, WA MSA",98626,470,590,680,990,1130,2011
"9","Cowlitz County","31020","Longview, WA MSA",98632,450,560,650,950,1080,2011
"10","Cowlitz County","31020","Longview, WA MSA",98645,510,650,750,1090,1250,2011
"11","Cowlitz County","31020","Longview, WA MSA",98649,480,600,700,1020,1160,2011
"12","Cowlitz County","31020","Longview, WA MSA",98674,480,600,700,1020,1160,2011
"13","Douglas County","48300","Wenatchee-East Wenatchee, WA MSA",98802,600,630,800,1080,1240,2011
"14","Douglas County","48300","Wenatchee-East Wenatchee, WA MSA",98812,580,620,780,1050,1210,2011
"15","Douglas County","48300","Wenatchee-East Wenatchee, WA MSA",98813,510,540,680,920,1060,2011
"16","Douglas County","48300","Wenatchee-East Wenatchee, WA MSA",98830,580,620,780,1050,1210,2011
"17","Douglas County","48300","Wenatchee-East Wenatchee, WA MSA",98843,580,620,780,1050,1210,2011
"18","Douglas County","48300","Wenatchee-East Wenatchee, WA MSA",98845,580,620,780,1050,1210,2011
"19","Douglas County","48300","Wenatchee-East Wenatchee, WA MSA",98848,580,620,780,1050,1210,2011
"20","Douglas County","48300","Wenatchee-East Wenatchee, WA MSA",98850,590,620,790,1070,1230,2011
"21","Douglas County","48300","Wenatchee-East Wenatchee, WA MSA",98858,580,620,780,1050,1210,2011
"22","Douglas County","48300","Wenatchee-East Wenatchee, WA MSA",99115,580,620,780,1050,1210,2011
"23","Douglas County","48300","Wenatchee-East Wenatchee, WA MSA",99116,530,560,710,960,1100,2011
"24","Douglas County","48300","Wenatchee-East Wenatchee, WA MSA",99133,580,620,780,1050,1210,2011
"25","Franklin County","28420","Kennewick-Pasco-Richland, WA MSA",99301,490,530,670,910,1070,2011
"26","Franklin County","28420","Kennewick-Pasco-Richland, WA MSA",99326,500,550,690,930,1110,2011
"27","Franklin County","28420","Kennewick-Pasco-Richland, WA MSA",99330,500,550,690,930,1110,2011
"28","Franklin County","28420","Kennewick-Pasco-Richland, WA MSA",99335,530,580,730,990,1170,2011
"29","Franklin County","28420","Kennewick-Pasco-Richland, WA MSA",99343,490,530,670,910,1070,2011
"30","Franklin County","28420","Kennewick-Pasco-Richland, WA MSA",99344,500,550,690,930,1110,2011
"31","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98001,1010,1140,1370,1930,2260,2011
"32","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98002,740,840,1000,1410,1650,2011
"33","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98003,750,840,1010,1420,1670,2011
"34","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98004,1100,1240,1490,2100,2460,2011
"35","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98005,900,1020,1220,1720,2010,2011
"36","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98006,1100,1240,1480,2080,2440,2011
"37","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98007,950,1070,1280,1800,2110,2011
"38","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98008,1130,1280,1530,2150,2530,2011
"39","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98010,840,950,1140,1610,1880,2011
"40","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98011,920,1040,1240,1750,2050,2011
"41","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98014,840,950,1140,1610,1880,2011
"42","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98019,840,950,1140,1610,1880,2011
"43","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98022,740,840,1000,1410,1650,2011
"44","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98023,840,940,1130,1590,1870,2011
"45","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98024,840,950,1140,1610,1880,2011
"46","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98027,1010,1140,1370,1930,2260,2011
"47","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98028,790,890,1070,1510,1770,2011
"48","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98029,1240,1390,1670,2350,2760,2011
"49","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98030,760,860,1030,1450,1700,2011
"50","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98031,840,940,1130,1590,1870,2011
"51","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98032,750,840,1010,1420,1670,2011
"52","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98033,1140,1290,1540,2170,2540,2011
"53","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98034,900,1020,1220,1720,2010,2011
"54","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98038,950,1070,1280,1800,2110,2011
"55","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98039,840,950,1140,1610,1880,2011
"56","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98040,1160,1310,1570,2210,2590,2011
"57","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98042,1040,1170,1400,1970,2310,2011
"58","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98045,840,950,1140,1610,1880,2011
"59","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98047,750,840,1010,1420,1670,2011
"60","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98051,840,950,1140,1610,1880,2011
"61","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98052,1040,1170,1400,1970,2310,2011
"62","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98053,1220,1380,1650,2320,2720,2011
"63","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98055,870,990,1180,1660,1950,2011
"64","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98056,810,920,1100,1550,1820,2011
"65","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98057,770,870,1040,1460,1720,2011
"66","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98058,950,1070,1280,1800,2110,2011
"67","King County","42660","Seattle-Tacoma-Bellevue, WA MSA",98059,940,1060,1270,1790,2100,2011
